origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV79_Turbellaria_Rhabdocoela_Ptychopera_Ptychopera_westbladi,1,134,0.26087,0.183115,-3603.74,-3636.2,0.0546798,0.465847,NA,NA,NA,NA
placements,ASV205_Turbellaria_Rhabdocoela_Cheliplanilla_Cheliplanilla_caudata,1,49,0.209148,0.406471,-3546.84,-3567.72,0.0700286,0.270146,NA,NA,NA,NA
placements,ASV167_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,49,0.841485,0.982734,-3595.49,-3617.22,0.0522662,0.2853,NA,NA,NA,NA
placements,ASV72_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,49,0.773626,0.981666,-3621.39,-3655.81,0.044177,0.512347,NA,NA,NA,NA
placements,ASV53_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.312158,0.907419,-3574.37,-3613.66,0.0528922,0.62709,NA,NA,NA,NA
placements,ASV81_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,134,0.233169,0.0951228,-3595.48,-3628.32,0.0546798,0.472079,NA,NA,NA,NA
placements,ASV43_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.194628,0.230754,-3666.16,-3736.8,9.20381e-06,1.47959,NA,NA,NA,NA
placements,ASV134_Turbellaria_Acoelomorpha_Solenofilomorpha_Solenofilomorpha_pellucida,1,49,0.129034,0.63056,-3623.04,-3697.66,0.0641284,1.71019,NA,NA,NA,NA
placements,ASV174_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,49,0.102576,0.503157,-3563.27,-3627.19,0.0765646,1.32116,NA,NA,NA,NA
placements,ASV7_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,49,0.328971,0.813086,-3559.92,-3585.34,0.0674321,0.344961,NA,NA,NA,NA
placements,ASV14_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,134,0.246966,0.143049,-3592.65,-3624.75,0.0546798,0.457924,NA,NA,NA,NA
placements,ASV34_Turbellaria_Seriata_Cirrifera_Cirrifera_dumosa,1,142,0.236085,0.942339,-3560.49,-3582.06,0.181424,0.300224,NA,NA,NA,NA
placements,ASV2_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.198631,0.231394,-3663.45,-3732.99,9.20381e-06,1.44297,NA,NA,NA,NA
placements,ASV56_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,143,0.25089,0.184046,-3646.64,-3697.66,0.0137563,0.910272,NA,NA,NA,NA
placements,ASV164_Turbellaria_Rhabdocoela_Scanorhynchus_Scanorhynchus_forcipatus,1,145,0.166851,0.261508,-3542.92,-3567.42,0.00643341,0.336288,NA,NA,NA,NA
placements,ASV93_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,147,0.0787637,0.110187,-3664,-3709.62,0.0141181,0.778513,NA,NA,NA,NA
placements,ASV116_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_canadensis,1,49,0.201868,0.015744,-3619.88,-3661.95,0.0704316,0.678617,NA,NA,NA,NA
placements,ASV30_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_lemani,1,142,0.28012,0.951373,-3584.65,-3625.78,0.180163,0.680469,NA,NA,NA,NA
placements,ASV206_Turbellaria_Rhabdocoela_Paracicerina_Paracicerina_laboeica,1,49,0.508555,0.687542,-3573.71,-3595.24,0.0735246,0.276999,NA,NA,NA,NA
placements,ASV85_Turbellaria_Rhabdocoela_Proxenetes_Proxenetes_puccinellicola,1,147,0.229546,0.222917,-3607.12,-3640.39,0.0287071,0.499342,NA,NA,NA,NA
placements,ASV117_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,155,0.0647917,0.0491968,-3631.42,-3685.69,0.00451792,0.96393,NA,NA,NA,NA
placements,ASV110_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.162014,0.138014,-3660.29,-3727.64,9.20381e-06,1.37726,NA,NA,NA,NA
placements,ASV83_Turbellaria_Acoelomorpha_Otocelis_Otocelis_sandara,1,102,0.116076,0.208192,-3693.35,-3773.35,9.20381e-06,1.87149,NA,NA,NA,NA
placements,ASV194_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.0923956,0.039585,-2795.59,-2859.43,9.20381e-06,1.99999,NA,NA,NA,NA
placements,ASV204_Turbellaria_Rhabdocoela_Paracrorhynchus_Paracrorhynchus_sp.,1,139,0.262496,0.95493,-3566.01,-3590.55,0.120489,0.349665,NA,NA,NA,NA
