origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV52_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,666,0.706652,0.742567,-21262.6,-21264.7,0.0379482,0.0330885,NA,NA,NA,NA
placements,ASV159_Turbellaria_Rhabdocoela_Brinkmanniella_Brinkmanniella_palmata,1,713,1,1,-21415.2,-21418.3,0.166513,0.0569748,NA,NA,NA,NA
placements,ASV142_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,100,0.52383,0.77153,-21577.6,-21579.3,0.0069759,0.0350768,NA,NA,NA,NA
placements,ASV116_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_canadensis,1,312,0.116323,0.151226,-21297.3,-21306.7,0.0123156,0.303848,NA,NA,NA,NA
placements,ASV71_Turbellaria_Rhabdocoela_Paracicerina_Paracicerina_laboeica,1,688,1,1,-21429.6,-21432,0.0258026,0.0328736,NA,NA,NA,NA
placements,ASV201_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.552277,0.478375,-20017.8,-20048.2,0.102182,1.18981,NA,NA,NA,NA
placements,ASV105_Cestoda_Eucestoda_Taenia_Taenia_krepkogorski,1,408,0.222259,0.316812,-19003.5,-19053.2,0.0376583,1.99999,NA,NA,NA,NA
placements,ASV21_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,408,0.458753,0.256504,-20059.7,-20088.9,0.103091,1.16879,NA,NA,NA,NA
placements,ASV133_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,667,1,1,-21403.7,-21405.9,0.0677042,0.00447498,NA,NA,NA,NA
placements,ASV5_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.553475,0.495309,-20010.4,-20040.4,0.102043,1.15898,NA,NA,NA,NA
placements,ASV31_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,661,0.931496,0.942682,-21277.7,-21280.5,0.0523564,0.0619631,NA,NA,NA,NA
placements,ASV127_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,539,1,1,-20994.5,-21000.3,0.0825482,0.157508,NA,NA,NA,NA
placements,ASV176_Turbellaria_Acoelomorpha_Haplocelis_Haplocelis_dichona,1,408,0.580045,0.605431,-18233.8,-18267.3,0.0951143,1.37756,NA,NA,NA,NA
placements,ASV19_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.731062,0.74082,-19444.8,-19472.8,0.091716,1.13002,NA,NA,NA,NA
placements,ASV168_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,21,0.839596,0.873925,-21633.6,-21635.2,0.00522641,0.0155207,NA,NA,NA,NA
placements,ASV6_Turbellaria_Rhabdocoela_Paracrorhynchus_Paracrorhynchus_sp.,1,481,1,1,-21092.9,-21095.1,0.0277151,0.0120752,NA,NA,NA,NA
placements,ASV171_Turbellaria_Polycladida_Prostheceraeus_Prostheceraeus_vittatus,1,408,0.578577,0.621179,-20291.8,-20298.8,0.10147,0.206397,NA,NA,NA,NA
placements,ASV139_Turbellaria_Rhabdocoela_Wahlia_Wahlia_macrostylifera,1,391,0.865807,0.930103,-21036,-21043.2,0.0380801,0.215281,NA,NA,NA,NA
placements,ASV73_Turbellaria_Acoelomorpha_Actinoposthia_Actinoposthia_beklemischevi,1,408,0.5551,0.549032,-20263.8,-20304.8,0.0858265,1.8492,NA,NA,NA,NA
placements,ASV93_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,715,1,1,-21772.3,-21776.5,7.18928e-06,0.00649704,NA,NA,NA,NA
placements,ASV94_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.326339,0.451073,-12802.6,-12838.3,0.25518,1.6925,NA,NA,NA,NA
placements,ASV119_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21633.9,-21636.4,6.50911e-06,0.00660407,NA,NA,NA,NA
